Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
iRhythm Technologies Inc.,IRTC,United States,Health Care,Medical/Dental Instruments,-3.9,-2.97,-0.12,-0.35,-0.12,4,0.6,4.31,-0.48,-7891000,0.271929825,0.370283019,0.495614035,0.417924528,0.584070796,0.733944954,-0.3,Regular growth
Disc Medicine Inc.,IRON,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-45,-31.67,-0.1,-1.82,-1.82,3,0.01,14.91,-0.27,-7521000,0.117647059,0.120754717,0.405525847,0.43490566,0.973929236,0.334280303,-32.5,Underperformer
iRadimed Corporation,IRMD,United States,Health Care,Medical/Dental Instruments,1,0.62,0.38,1.75,0.38,4,,5.08,0.17,3135442,0.947368421,0.962264151,0.793859649,0.756132075,0.646017699,,,Outperformer
IRIDEX Corporation,IRIX,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-0.5,-0.42,-0.38,0.05,0.26,4,0.08,1.05,-0.44,-1157000,0.675675676,0.61509434,0.189189189,0.282075472,0.257142857,0.385714286,2.4,Regular growth
IQVIA Holdings Inc.,IQV,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,5.7,4.03,0.16,1.04,0.49,4,2.39,-5.37,0.19,437000000,0.888888889,0.945283019,0.555555556,0.633018868,0.222222222,1,3.2,Outperformer
Century Therapeutics Inc.,IPSC,United States,Health Care, Medicinal Chemicals and Botanical Products ,-2.3,-2.17,0.23,-0.1,0.23,4,0.21,2.58,-0.43,-16914000,0.803571429,0.503301887,0.732142857,0.683490566,0.607142857,0.773584906,-0.9,Regular growth
Iovance Biotherapeutics Inc.,IOVA,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-2.5,-2.2,-0.12,-0.16,-0.18,4,,,-0.79,-103472000,0.375,0.462735849,0.399038462,0.417924528,,,,Regular growth
Ionis Pharmaceuticals Inc.,IONS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.9,-1.76,-8.5,-3.41,-2.67,4,4.46,11.63,-0.47,-110436000,0.069518717,0.066981132,0.021390374,0.025471698,0.947858473,0.973484848,0.1,Underperformer
Assure Holdings Corp.,IONM,United States,Health Care,Medical/Dental Instruments,-40.1,-28.62,-7.35,-4.77,-7.35,4,10.91,2.06,-5.51,-2414000,0.043859649,0.053773585,0.01754386,0.027358491,0.442477876,0.990825688,-1.2,Underperformer
IO Biotech Inc.,IOBT,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,-2.5,-7.01,0.86,-3.8,0.43,4,0.02,2.36,-0.51,-18301000,0.058823529,0.060377358,0.926916221,0.935849057,0.579143389,0.410984848,-4.4,Underperformer
Inozyme Pharma Inc.,INZY,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.8,-2.89,0,-0.76,0,4,0.21,3.05,-0.57,-18875000,0.234402852,0.236792453,0.483957219,0.50754717,0.662942272,0.682765152,0.2,Regular growth
INVO BioScience Inc.,INVO,United States,Health Care,Medical/Dental Instruments,-18,-20.33,-0.43,-0.76,-0.43,4,23.62,-1.25,11.14,-1355528,0.184210526,0.236792453,0.307017544,0.262264151,0.044247788,1,-0.3,Underperformer
Innoviva Inc.,INVA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,2.4,2.42,-0.17,0.22,0.41,4,0.72,2.79,0.38,43715000,0.76916221,0.744339623,0.357397504,0.381603774,0.622905028,0.839015152,6.2,Regular growth
Intensity Therapeutics Inc.,INTS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.6,-0.5,0.04,-0.29,-0.08,4,0.01,1.16,0.5,-5118551,0.416221034,0.399528302,0.52228164,0.548584906,0.418994413,0.334280303,3.6,Regular growth
Inspire Medical Systems Inc.,INSP,United States,Health Care,Medical/Dental Instruments,-1.6,-1.78,-0.04,-0.1,-0.04,4,0.05,16.99,-0.09,237000,0.390350877,0.503301887,0.552631579,0.472641509,0.92920354,0.30733945,2.2,Regular growth
Insmed Incorporated,INSM,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.9,-3.6,-0.01,-0.1,-0.01,4,-4.14,5.1,-5.48,-139187000,0.521390374,0.503301887,0.474153298,0.497641509,0.82122905,0.034090909,-6.7,Regular growth
Inovio Pharmaceuticals Inc.,INO,United States,Health Care,Medical/Dental Instruments,-1.2,-1.23,0.19,-0.02,0.12,4,0.22,0.49,-1.26,-29110632,0.464912281,0.557075472,0.728070175,0.652358491,0.194690265,0.52293578,1.1,Regular growth
InnovAge Holding Corp.,INNV,United States,Health Care,Medical/Nursing Services,-0.3,-0.24,-5,-2.33,-2.86,4,0.35,0.42,-0.13,-35556000,0.352941176,0.094811321,0.235294118,0.038679245,0.470588235,0.470588235,0.2,Regular growth
InMode Ltd. Ordinary Shares,INMD,Israel,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,1.9,1.57,-0.02,0.42,0.11,4,0,,0.29,41295000,0.891891892,0.856603774,0.459459459,0.487735849,,0.128571429,,Regular growth
INmune Bio Inc.,INMB,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1.5,-1.47,0.19,-0.34,-0.35,4,0.29,1.73,-0.45,-4264000,0.278846154,0.373113208,0.706730769,0.652358491,0.541237113,0.768421053,-0.4,Regular growth
InMed Pharmaceuticals Inc. Common Shares,INM,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,-3.2,-14.18,-1.45,-0.12,0.11,4,0.03,2.09,-0.66,-2174213,0.506238859,0.488207547,0.094474153,0.100943396,0.546554935,0.446022727,-7.3,Regular growth
MiNK Therapeutics Inc.,INKT,United States,Health Care, Medicinal Chemicals and Botanical Products ,-0.8,-0.85,0.28,-0.12,0.28,4,0,-0.11,69.75,-4232189,0.785714286,0.488207547,0.767857143,0.703301887,0.142857143,0.20754717,55.2,Regular growth
Inogen Inc,INGN,United States,Health Care,Industrial Specialties,-3.7,-1.41,-12.11,-4.48,-1.29,4,0.1,7.11,-0.28,-3104000,0.069767442,0.056603774,0.069767442,0.018867925,0.674418605,0.406976744,-0.3,Underperformer
InfuSystems Holdings Inc.,INFU,United States,Health Care,Medical/Dental Instruments,0,0.29,-0.99,2.84,-0.93,4,0.71,0.73,0,2633000,0.98245614,0.978301887,0.122807018,0.138207547,0.238938053,0.779816514,1.9,Outperformer
Indivior PLC Ordinary Shares,INDV,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations,-0.4,-0.01,-1.28,-0.35,-1.28,4,-11.54,-0.14,-1.04,-7000000,0.377005348,0.370283019,0.10516934,0.113207547,0.087523277,0.015151515,1.6,Regular growth
Indaptus Therapeutics Inc.,INDP,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.7,-1.43,0.08,-0.88,-0.88,3,0.01,1.72,-0.58,-3734389,0.203208556,0.212264151,0.557040998,0.580660377,0.500931099,0.334280303,1.6,Underperformer
Incyte Corp.,INCY,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1.5,1.48,-0.64,0.61,-0.64,4,0.01,15.21,0.08,136859000,0.777777778,0.914150943,0.222222222,0.191509434,1,0.166666667,11.4,Outperformer
Inhibrx Inc.,INBX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.6,-2.93,-0.68,-0.36,-0.68,4,1.59,6.93,-2.5,-55056000,0.371657754,0.366037736,0.181818182,0.181603774,0.893854749,0.920454545,-0.7,Regular growth
Intelligent Bio Solutions Inc.,INBS,United States,Health Care,Medical Specialities,-10.6,-11.47,0.07,-0.29,0.07,4,0.94,-1.78,-2.88,-1311833,0.543103448,0.399528302,0.620689655,0.574056604,0.051724138,0.74137931,-4.5,Regular growth
IN8bio Inc.,INAB,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.4,-1.12,0.07,-0.51,0.07,4,0.3,0.37,-1.25,-5790000,0.302139037,0.300943396,0.551693405,0.574056604,0.249534451,0.722537879,0.8,Regular growth
Immunovant Inc.,IMVT,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1.7,-1.45,-0.2,-0.05,-0.17,4,0,1.91,-0.58,-60094000,0.471153846,0.535377358,0.326923077,0.36509434,0.592783505,0.205263158,-0.7,Regular growth
Immunic Inc.,IMUX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.8,-3.51,0.04,0.01,0.04,4,0.03,1.06,-1.06,-17356000,0.59714795,0.581132075,0.52228164,0.548584906,0.397579143,0.446022727,-1.1,Regular growth
Immuneering Corporation Class A,IMRX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.9,-1.88,0.22,-0.38,-0.4,4,0.04,3.24,-0.46,-12084081,0.359180036,0.355660377,0.64973262,0.675943396,0.675977654,0.46969697,1.7,Regular growth
Impel Pharmaceuticals Inc.,IMPL,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-4.5,-4.44,0.14,-0.15,-0.09,4,-1.25,-4.27,2.41,-17481000,0.486631016,0.468867925,0.596256684,0.620283019,0.00744879,0.075757576,0,Regular growth
Imunon Inc.,IMNN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-5,-6.31,-0.31,0.15,0.13,4,0.1,1.75,-1.22,-4712772,0.713903743,0.696226415,0.289661319,0.309433962,0.504655493,0.579545455,-3.8,Regular growth
Immunome Inc.,IMNM,United States,Health Care, Medicinal Chemicals and Botanical Products ,-3.1,-3.5,-0.44,-0.58,-0.44,4,0.06,5.6,-2.22,-8650000,0.526785714,0.281603774,0.285714286,0.258490566,0.875,0.386792453,-3.3,Regular growth
Immix Biopharma Inc.,IMMX,United States,Health Care, Medicinal Chemicals and Botanical Products ,-0.6,-2.45,0.91,-16.33,-0.14,4,0,0.99,-0.63,-3125571,0.071428571,0.01509434,0.964285714,0.942924528,0.375,0.20754717,-0.9,Underperformer
ImmunoGen Inc.,IMGN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.9,-0.6,-0.29,-0.46,-0.29,4,0.13,2.42,-1.43,-66819000,0.317290553,0.317924528,0.303030303,0.319811321,0.581936685,0.616477273,1.4,Regular growth
Illumina Inc.,ILMN,United States,Health Care,Medical Specialities,-28,-6.17,-6.56,-2.26,-0.34,4,0.37,6.45,-0.67,139000000,0.120689655,0.099056604,0.034482759,0.030188679,0.706896552,0.379310345,-2,Underperformer
Inhibikase Therapeutics Inc.,IKT,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-4.3,-3.76,0.11,-0.27,0.11,4,0.02,2.77,-0.86,-4105093,0.431372549,0.412735849,0.577540107,0.604245283,0.617318436,0.410984848,-1.5,Regular growth
Ikena Oncology Inc.,IKNA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.9,-1.47,-0.56,-0.19,-0.06,4,0.07,4.11,-0.47,-19997000,0.466131907,0.446226415,0.210338681,0.216037736,0.756052142,0.535984848,1.4,Regular growth
Inspira Technologies Oxy B.H.N. Ltd. Ordinary Shares,IINN,Israel,Health Care,Medical/Dental Instruments,-0.9,-1.57,0.7,-1.35,0.06,4,0.18,0.6,-0.8,,0.122807018,0.149528302,0.921052632,0.901886792,0.212389381,0.47706422,1,Underperformer
IGM Biosciences Inc.,IGMS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-5.3,-4.3,-0.08,-0.16,-0.08,4,0.16,6.09,-0.77,-43204000,0.482174688,0.462735849,0.422459893,0.45,0.854748603,0.642045455,-2.1,Regular growth
IGC Pharma Inc.,IGC,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.2,-0.24,0.27,-0.09,-0.11,4,0.03,0.06,-0.77,-1673000,0.525846702,0.50990566,0.673796791,0.699056604,0.146182495,0.446022727,2.6,Regular growth
IDEAYA Biosciences Inc.,IDYA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.4,-1.41,-0.01,0.19,-0.01,4,,,-0.17,-34344000,0.741532977,0.720283019,0.474153298,0.497641509,,,,Regular growth
IDEXX Laboratories Inc.,IDXX,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,8,7.78,-0.07,0.19,0.28,4,0.79,4.98,1.12,238339000,0.818181818,0.720283019,0.545454545,0.458490566,0.909090909,0.909090909,31.8,Regular growth
Icosavax Inc.,ICVX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.3,-4.2,0.38,-3.14,0.38,4,0.03,4.44,-0.42,-19004000,0.076648841,0.074528302,0.723707665,0.756132075,0.776536313,0.446022727,-1.1,Underperformer
ICU Medical Inc.,ICUI,United States,Health Care,Medical/Dental Instruments,-3.1,1.88,-1.66,-0.54,-0.14,4,0.78,31.29,-0.04,10603000,0.219298246,0.292924528,0.087719298,0.088679245,0.991150442,0.788990826,1.9,Regular growth
SeaStar Medical Holding Corporation,ICU,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.8,-1.29,-3.44,-1.92,-1.92,3,-0.64,-0.52,2.79,-1337000,0.108734403,0.114150943,0.037433155,0.047169811,0.048417132,0.095643939,0.5,Underperformer
Intercept Pharmaceuticals Inc.,ICPT,United States,Health Care,Biotechnology: Pharmaceutical Preparations,6.6,-1.55,3.29,1.39,0.66,4,3.12,7,2.38,16673000,0.964349376,0.954716981,0.991087344,0.989622642,0.895716946,0.960227273,9.4,Outperformer
ICON plc Ordinary Shares,ICLR,Ireland,Health Care,Biotechnology: Commercial Physical & Biological Resarch,6.1,4.87,1.72,0.33,-0.08,4,0.46,6.68,0.06,312415000,0.555555556,0.813679245,0.888888889,0.979245283,0.777777778,0.666666667,19.7,Regular growth
ImmuCell Corporation,ICCC,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.3,-0.16,-31,-9.94,0.26,4,0.64,1.11,-0.08,-928269,0.023172906,0.025471698,0.005347594,0.007075472,0.412476723,0.815340909,0.1,Underperformer
iCAD Inc.,ICAD,United States,Health Care,Medical/Dental Instruments,-0.5,-0.6,-0.2,0.05,-0.08,4,0.02,0.79,-0.39,-1912000,0.539473684,0.61509434,0.412280702,0.36509434,0.274336283,0.220183486,2.7,Regular growth
ImmunityBio Inc.,IBRX,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1,-0.84,-0.17,-0.37,-0.41,4,-1.75,0.19,0.93,-93078000,0.269230769,0.360377358,0.346153846,0.381603774,0.211340206,0.063157895,0.8,Regular growth
iBio Inc.,IBIO,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-5.3,-28.7,0.08,-0.97,0.08,4,1.26,0.08,-4.23,-5340000,0.193404635,0.202830189,0.557040998,0.580660377,0.150837989,0.896780303,-5.4,Underperformer
Integra LifeSciences Holdings Corporation,IART,United States,Health Care,Medical/Dental Instruments,2.2,1.9,0.09,0.69,0.26,4,1.07,7.38,0.1,26770000,0.885964912,0.925471698,0.649122807,0.588679245,0.761061947,0.848623853,8.2,Outperformer
Horizon Therapeutics Public Limited Company Ordinary Shares,HZNP,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations,2.2,2.1,-0.02,-0.05,-0.02,4,0.48,13.1,0.1,143001000,0.551693405,0.535377358,0.461675579,0.487735849,0.96461825,0.783143939,7.8,Regular growth
Hyperfine Inc. Class A,HYPR,United States,Health Care,Medical Specialities,-1,-6.31,0.94,-16.93,-0.21,4,0,1.26,-0.59,-8984000,0.017241379,0.014150943,0.948275862,0.948113208,0.362068966,0.094827586,-6.1,Underperformer
Humacyte Inc.,HUMA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.1,-0.48,0.82,0.4,0.4,3,1.53,0.85,-0.1,-13500000,0.874331551,0.846698113,0.917112299,0.927830189,0.358472998,0.918560606,2.6,Outperformer
Humana Inc.,HUM,United States,Health Care,Medical Specialities,22.1,23.35,-0.03,0.04,-0.03,4,0.7,76.24,0.18,1018000000,0.724137931,0.605660377,0.551724138,0.476886792,1,0.586206897,49,Regular growth
FSD Pharma Inc. Class B Subordinate Voting Shares,HUGE,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,-0.6,-1.42,0.4,0.51,0.52,4,0.02,0.13,-0.77,-1712580,0.91087344,0.895754717,0.745098039,0.774056604,0.166666667,0.410984848,2.4,Outperformer
Histogen Inc.,HSTO,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.5,-17.62,0.56,-1.97,0.56,4,0,0.96,-0.79,-2689000,0.106060606,0.112735849,0.826203209,0.854716981,0.379888268,0.210227273,-16.2,Underperformer
Henry Schein Inc.,HSIC,United States,Health Care,Medical Specialities,3.9,3.73,-0.12,0.02,-0.12,4,0.38,12.52,0.12,237000000,0.689655172,0.589150943,0.474137931,0.417924528,0.896551724,0.396551724,10.3,Regular growth
Helius Medical Technologies Inc. Class A (DE),HSDT,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-52,-337,0.86,0.44,0.37,4,0.02,12.62,-1.73,-2458000,0.918918919,0.866037736,1,0.935849057,0.885714286,0.2,-1061.1,Regular growth
Heart Test Laboratories Inc.,HSCS,United States,Health Care,Medical Specialities,-0.8,-0.57,-0.34,-0.31,-0.34,4,-3.05,0.01,-27.56,-1409175,0.517241379,0.387264151,0.379310345,0.297641509,0.146551724,0.034482759,-13.6,Regular growth
Heron Therapeutics Inc.,HRTX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.7,-2.14,0.25,0.12,0.1,4,-6.48,0.81,-13.41,-9972000,0.692513369,0.677358491,0.664884135,0.691981132,0.35009311,0.018939394,-12,Regular growth
Harrow Health Inc.,HROW,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.5,-0.44,0.26,-6.02,-4.31,4,2.42,2.6,-0.52,-1208000,0.037433155,0.04245283,0.670231729,0.696226415,0.608007449,0.948863636,1.4,Underperformer
Harmony Biosciences Holdings Inc.,HRMY,United States,Health Care,Biotechnology: Pharmaceutical Preparations,3,0.36,4.12,1.87,1.23,4,0.41,5.99,0.45,63100000,0.976827094,0.966981132,0.992869875,0.990566038,0.851024209,0.762310606,10.9,Outperformer
Hempacco Co. Inc.,HPCO,United States,Health Care, Medicinal Chemicals and Botanical Products ,-0.3,-0.17,-1.9,-1.34,-1.34,3,0.42,-0.08,-0.93,-1165514,0.267857143,0.151415094,0.125,0.082075472,0.160714286,0.867924528,0.1,Underperformer
Werewolf Therapeutics Inc.,HOWL,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.9,-5.32,0.83,-0.73,-0.55,4,,,-0.44,-11103000,0.241532977,0.241981132,0.919786096,0.929716981,,,,Regular growth
Hoth Therapeutics Inc.,HOTH,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-9.5,-13.34,0.41,0.21,0.31,4,0,2.72,-2.22,-1636580,0.760249554,0.736320755,0.751336898,0.779716981,0.612662942,0.210227273,-26.6,Regular growth
HOOKIPA Pharma Inc.,HOOK,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1,-1.66,0.57,0.17,0.3,4,0.04,1.18,-0.63,-27137000,0.721925134,0.702358491,0.829768271,0.858962264,0.421787709,0.46969697,2.4,Regular growth
Hologic Inc.,HOLX,United States,Health Care,Medical Electronics,,5.52,-0.29,0.21,0.21,4,0.56,12.15,0.09,206200000,0.8,0.736320755,0.6,0.319811321,1,1,,Regular growth
HilleVax Inc.,HLVX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-5.9,-4.1,0.06,-23.82,-23.82,3,0.17,6.44,-0.6,-28992000,0.007130125,0.009433962,0.545454545,0.568867925,0.873370577,0.65530303,-1.2,Underperformer
Herbalife Ltd. Common Shares,HLF,Cayman Islands,Health Care,Other Pharmaceuticals,3.2,3.38,-0.22,0.18,0.26,4,-2.51,1.82,-0.25,48500000,1,0.709433962,0.333333333,0.354716981,0.833333333,0.333333333,12.2,Regular growth
Hims & Hers Health Inc. Class A,HIMS,,Health Care,Medical/Nursing Services,-0.3,-0.47,0.45,0.35,0.45,4,0.01,0.79,-0.21,19271000,0.823529412,0.826415094,0.882352941,0.806603774,0.588235294,0.176470588,0.3,Regular growth
Humanigen Inc.,HGEN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.8,-2.42,0.8,-1.38,-0.67,4,0,-0.41,1.51,-7059000,0.140819964,0.148113208,0.911764706,0.925,0.061452514,0.210227273,2,Underperformer
Hepion Pharmaceuticals Inc.,HEPA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-11.8,-21.07,-0.26,0.39,0.66,4,0.01,3.87,-0.85,-11233660,0.867201426,0.841037736,0.315508021,0.335377358,0.732774674,0.334280303,-32.6,Outperformer
HCW Biologics Inc.,HCWB,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.4,-0.44,0.39,-0.56,0.32,4,0.27,0.23,-0.4,-6219320,0.290552585,0.287264151,0.732620321,0.764622642,0.195530726,0.711174242,1.6,Regular growth
Healthcare Services Group Inc.,HCSG,United States,Health Care,Assisted Living Services,0.5,0.8,-0.23,-0.08,-0.23,4,0.03,4.53,0.08,1064000,0.5,0.516037736,0.5,0.348113208,1,0.5,6.1,Regular growth
HUTCHMED (China) Limited American Depositary Shares,HCM,Hong Kong,Health Care,Biotechnology: Pharmaceutical Preparations,-2.1,-1.43,-0.72,-0.41,-0.39,4,0.05,0.87,-0.57,,0.346702317,0.343867925,0.169340463,0.172169811,0.364990689,0.492424242,0.8,Regular growth
HCA Healthcare Inc.,HCA,United States,Health Care,Hospital/Nursing Management,19.1,17.08,-0.09,0.31,0.09,4,115.19,7.02,-77.3,1332000000,0.6875,0.804245283,0.75,0.441509434,0.75,1,-24.2,Regular growth
Harpoon Therapeutics Inc.,HARP,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-20.4,-25.5,0.44,-0.05,0.22,4,3.19,3.94,-12.55,-16620000,0.551693405,0.535377358,0.777183601,0.801415094,0.74301676,0.962121212,-34.3,Regular growth
Halozyme Therapeutics Inc.,HALO,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.4,1.7,-0.47,1.45,2.01,4,6.01,5.78,1.19,129467000,0.961538462,0.957075472,0.163461538,0.244339623,0.793814433,0.989473684,3.9,Outperformer
Haemonetics Corporation,HAE,United States,Health Care,Medical/Dental Instruments,2.2,1.54,1.67,0.42,0.05,4,0.85,11.86,0.14,9423000,0.789473684,0.856603774,0.98245614,0.978301887,0.89380531,0.80733945,10.9,Regular growth
G1 Therapeutics Inc.,GTHX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.4,-3.18,0.05,-0.03,0.05,4,,,-2.15,14085000,0.562388592,0.549528302,0.535650624,0.55990566,,,,Regular growth
GT Biopharma Inc.,GTBP,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.7,-3.06,0.68,0.6,0.68,4,0.01,0.26,-1.78,-1964000,0.930481283,0.912264151,0.873440285,0.896698113,0.215083799,0.334280303,-0.6,Outperformer
Galera Therapeutics Inc.,GRTX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.3,-2.8,0.26,0.34,0.26,4,-0.01,0.42,0.57,-12521000,0.846702317,0.819811321,0.670231729,0.696226415,0.263500931,0.140151515,1.7,Regular growth
Gritstone bio Inc.,GRTS,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1.3,-1.69,-0.39,0.09,0.01,4,1.29,0.72,-0.7,-32180000,0.591346154,0.656603774,0.197115385,0.277358491,0.412371134,0.926315789,-0.4,Regular growth
Graphite Bio Inc.,GRPH,United States,Health Care, Medicinal Chemicals and Botanical Products ,-1.8,-2.1,0.25,-89.12,-0.23,4,0.26,3.9,-0.34,-14214000,0.017857143,0.003773585,0.75,0.691981132,0.732142857,0.801886792,-0.4,Underperformer
GeoVax Labs Inc.,GOVX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.8,-2,0.73,0.43,0.73,4,0,0.29,-0.53,-5101870,0.887700535,0.861792453,0.889483066,0.910377358,0.229981378,0.210227273,2.6,Outperformer
Gossamer Bio Inc.,GOSS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.7,-3.13,0.13,0.06,0.12,4,2.06,1.33,-18.99,-34464000,0.64171123,0.627358491,0.58912656,0.614622642,0.446927374,0.946969697,-6.9,Regular growth
Genprex Inc.,GNPX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.5,-0.48,-0.14,0.08,0.14,4,0,0.14,-1.07,-4756952,0.664884135,0.647169811,0.379679144,0.403773585,0.169459963,0.210227273,2.7,Regular growth
Genelux Corporation,GNLX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.2,-0.5,0.68,0.24,0.24,3,0.08,0.83,0.15,-3634000,0.786987522,0.75990566,0.873440285,0.896698113,0.354748603,0.554924242,4.5,Regular growth
Globus Medical Inc. Class A,GMED,United States,Health Care,Medical/Dental Instruments,1.9,1.43,0.28,0.12,0.28,4,0.12,10.59,0.1,17160000,0.622807018,0.677358491,0.754385965,0.703301887,0.876106195,0.417431193,10.8,Regular growth
Gamida Cell Ltd. Ordinary Shares,GMDA,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1.2,-1.39,0.18,0.09,0.17,4,223.08,0.36,9.89,-18582000,0.591346154,0.656603774,0.6875,0.644811321,0.288659794,1,2.2,Regular growth
GlycoMimetics Inc.,GLYC,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.9,-1.08,0.28,0.11,0.16,4,,,-1.09,-6985384,0.68627451,0.669811321,0.675579323,0.703301887,,,,Regular growth
Monte Rosa Therapeutics Inc.,GLUE,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.3,-2.3,0.22,-0.65,-0.79,4,0.25,3.2,-0.4,-26365000,0.262923351,0.264622642,0.64973262,0.675943396,0.672253259,0.702651515,0.8,Regular growth
Galecto Inc.,GLTO,Denmark,Health Care,Biotechnology: Pharmaceutical Preparations,-2.4,-4.03,-0.19,-0.26,-0.19,4,0.01,1.27,-1,-8454000,0.436720143,0.416981132,0.341354724,0.369811321,0.441340782,0.334280303,-1,Regular growth
Greenwich LifeSciences Inc.,GLSI,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.6,-0.39,-0.74,-0.4,-0.74,4,0,0.69,-0.59,-1800623,0.355614973,0.35,0.165775401,0.169811321,0.318435754,0.210227273,1.7,Regular growth
Galmed Pharmaceuticals Ltd. Ordinary Shares,GLMD,Israel,Health Care,Biotechnology: Pharmaceutical Preparations,-10.7,-16.9,0.46,0.03,0.02,4,0,3.02,-1.33,-2177000,0.614973262,0.597641509,0.788770053,0.812735849,0.65735568,0.210227273,-32.1,Regular growth
Glaukos Corporation,GKOS,United States,Health Care,Medical/Dental Instruments,-2.1,-1.95,-0.95,-2.88,-0.95,4,0.8,6.82,-0.19,-13927000,0.070175439,0.079716981,0.140350877,0.144811321,0.699115044,0.798165138,0.2,Underperformer
Gilead Sciences Inc.,GILD,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3.6,2.89,-0.26,15.69,-0.26,4,,3.26,0.22,1756000000,1,0.997169811,0.259615385,0.335377358,0.711340206,,,Outperformer
Guardion Health Sciences Inc.,GHSI,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-14.2,-32.13,0.73,0.22,0.66,4,0,8.96,-1.13,-766581,0.76916221,0.744339623,0.889483066,0.910377358,0.929236499,0.210227273,-89.1,Regular growth
GH Research PLC Ordinary Shares,GHRS,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations,-0.4,-0.22,-1.05,-4.92,-1.05,4,0,3.04,-0.09,-10348000,0.046345811,0.049056604,0.126559715,0.130188679,0.659217877,0.210227273,0.9,Underperformer
